Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Evgenii Dadonov,20232024,DAL,L,R,51,12,11,23,-6,8,0.45,11,21,1,2,0,0,0,3,67,17.9,13:11,0
Alex Laferriere,20232024,LAK,R,R,81,12,11,23,-14,46,0.28,12,20,0,3,0,0,0,2,147,8.2,13:13,53.9
Bobby Brink,20232024,PHI,R,R,57,11,12,23,1,10,0.4,8,18,3,5,0,0,0,2,81,13.6,13:48,57.1
Mike Hoffman,20232024,SJS,L,C,66,10,13,23,-21,20,0.35,7,17,3,6,0,0,0,1,71,14.1,13:44,37.5
Casey Cizikas,20232024,NYI,L,C,70,10,13,23,-2,22,0.33,9,21,0,1,1,1,0,1,82,12.2,13:56,53.4
Cole Smith,20232024,NSH,L,L,80,9,14,23,5,63,0.29,8,20,0,0,1,3,0,4,112,8,13:41,29.4
Vladislav Gavrikov,20232024,LAK,L,D,77,6,17,23,9,28,0.3,6,22,0,0,0,1,1,1,114,5.3,20:37,--
Max Pacioretty,20232024,WSH,L,L,47,4,19,23,-14,25,0.49,2,12,2,11,0,0,0,0,95,4.2,14:26,29.4
Timothy Liljegren,20232024,TOR,R,D,55,3,20,23,3,16,0.42,3,15,0,7,0,1,0,1,62,4.8,19:40,--
Rasmus Sandin,20232024,WSH,L,D,68,3,20,23,-13,24,0.34,3,18,0,5,0,0,0,1,79,3.8,21:07,--
Corey Perry,20232024,"CHI,EDM",R,R,54,12,10,22,-6,46,0.41,9,18,3,4,0,0,0,2,82,14.6,13:23,0
Kyle Okposo,20232024,"BUF,FLA",R,R,67,12,10,22,1,34,0.33,9,17,2,4,1,1,0,0,114,10.5,13:21,47.6
Nic Dowd,20232024,WSH,R,C,64,12,10,22,-2,47,0.34,12,22,0,0,0,0,0,2,61,19.7,15:12,48.1
Michael McCarron,20232024,NSH,R,R,70,12,10,22,4,100,0.31,12,22,0,0,0,0,0,3,94,12.8,12:46,53.2
Brett Leason,20232024,ANA,R,R,68,11,11,22,-7,14,0.32,9,20,0,0,2,2,0,0,91,12.1,13:01,41.5
Marcus Foligno,20232024,MIN,L,L,55,10,12,22,10,59,0.4,10,21,0,0,0,1,0,3,56,17.9,14:29,38.9
Jalen Chatfield,20232024,CAR,R,D,72,8,14,22,15,24,0.31,8,22,0,0,0,0,0,2,90,8.9,15:12,--
