Player,Position,cps
Noel Acciari,C,0.2206150597079843
Ryan Lomberg,L,0.1667048054312138
Dillon Dube,C,0.162236672325121
Troy Stecher,D,0.3021584635968018
Nikita Zaitsev,D,0.2205177259640146
Justin Brazeau,R,0.0902217342988016
Nick DeSimone,D,0.1636027395436627
Mattias Samuelsson,D,0.2829161476423802
David Gustafsson,C,0.1654184008238904
Brayden Pachal,D,0.2656274289759355
Ryan Johnson,D,0.1794812841456084
Mitchell Chaffee,R,0.0999140938336858
Wyatt Kaiser,D,0.1758704747179822
Radim Zohorna,L,0.1018218687592152
Nils Aman,C,0.1609693801009369
Matthew Kessel,D,0.2253980942971782
Daniil Miromanov,D,0.1607309387371992
Walker Duehr,R,0.0927062800432933
Ryan Reaves,R,0.1005804350104256
Erik Johnson,D,0.3114651169363758
Travis Hamonic,D,0.2347005768022582
Joel Edmundson,D,0.2624050862549787
Carson Soucy,D,0.242151858895964
Zach Sanford,L,0.0855925979352563
Tomas Nosek,L,0.1005670509015989
Jakub Vrana,L,0.0808963480995416
Tyson Jost,C,0.155581381567709
Filip Chytil,C,0.1188426027176621
Oliver Wahlstrom,R,0.0956303823627043
Jonatan Berggren,R,0.0590499273997605
Isaak Phillips,D,0.1676120971028032
Brandt Clarke,D,0.0946082045579286
Ivan Miroshnichenko,L,0.0867422828470778
Marc Staal,D,0.1683550074175142
Nick Bonino,C,0.1653226315375236
Jared Spurgeon,D,0.1345532814411537
Justin Holl,D,0.189354833660766
John Klingberg,D,0.103808275830691
Scott Mayfield,D,0.2732135678118734
Dominic Toninato,C,0.1300417700655166
Joel Hanley,D,0.1892452472039659
Haydn Fleury,D,0.1547620561604095
Brendan Lemieux,L,0.0845565450591921
Caleb Jones,D,0.1318518980530354
Axel Jonsson-Fjallby,L,0.0764890922998478
Matthew Phillips,R,0.083025729979104
Olle Lycksell,R,0.0692519105347224
Simon Benoit,D,0.4087728604254192
Reese Johnson,C,0.1488914816778226
John Ludvig,D,0.1422437801680765
Jacob Lucchini,C,0.1447394917266906
Samuel Bolduc,D,0.1566528078281079
Emil Lilleberg,D,0.2020389284058615
Shane Wright,C,0.1314203261665782
Nicolas Deslauriers,L,0.1106927247635307
Tyler Pitlick,C,0.1087595317836361
Derek Forbort,D,0.226513959076864
Austin Watson,L,0.0720449820735173
Taylor Hall,L,0.0623748781778899
Matt Nieto,L,0.0722372485941904
Brendan Gaunce,C,0.1456357700881468
Devin Shore,C,0.1297408927431478
Chad Ruhwedel,D,0.2199388990473374
Rasmus Ristolainen,D,0.1772902284030188
Ross Johnston,L,0.1127193114322874
Louie Belpedio,D,0.0987049174761125
William Lagesson,D,0.2111850705639958
Max Willman,C,0.1108080368874204
Jansen Harkins,C,0.1967944797752346
Ethan Bear,D,0.1272576918856915
